
running 1 test
24 0.000154838 0.000060271 0.000006860
173 0.069976232 0.005748945 0.001072683
52 0.001931342 0.000471910 0.000036392
43 0.001133837 0.000371967 0.000031142
5 0.000004241 0.000002463 0.000001063
181 0.075673321 0.006176707 0.001088987
109 0.014257692 0.001985692 0.000232351
225 0.136415628 0.012043133 0.002058112
211 0.118388053 0.010498917 0.001468522
135 0.027153333 0.002848071 0.000399894
169 0.061142659 0.005093769 0.000808239
123 0.023456079 0.003732774 0.000441424
177 0.066096888 0.005828699 0.000806250
24 0.000155381 0.000059680 0.000006407
175 0.068588958 0.007755493 0.000922016
145 0.038738394 0.003949284 0.000736354
99 0.011573535 0.001793191 0.000170975
126 0.026328960 0.002650114 0.000360905
177 0.066513204 0.008475414 0.000885189
112 0.014468595 0.002780524 0.000349166
190 0.086535632 0.007346984 0.001715339
142 0.030776388 0.003431790 0.000481801
210 0.116707265 0.009307682 0.002602351
43 0.001175059 0.000348217 0.000026819
159 0.052193685 0.005048813 0.000783129
137 0.029295519 0.003184655 0.000431247
215 0.141371618 0.009303883 0.002390262
234 0.157458983 0.011470387 0.002378839
153 0.040657701 0.004154456 0.000622057
231 0.147745263 0.010284446 0.002010421
108 0.015929346 0.001809777 0.000201768
84 0.006526742 0.001010050 0.000090627
150 0.042008183 0.004246249 0.000508165
57 0.001875971 0.000425360 0.000041949
57 0.001836747 0.000441513 0.000045572
41 0.000752957 0.000207963 0.000020739
96 0.013439399 0.001744479 0.000202552
92 0.008321477 0.001258067 0.000126728
91 0.007740038 0.001834475 0.000203161
78 0.004837211 0.001085800 0.000089554
220 0.151603073 0.014551771 0.001804290
125 0.026206115 0.003096266 0.000429404
194 0.096172658 0.008545740 0.001017584
255 0.193608953 0.016801142 0.003119040
129 0.027857357 0.002959165 0.000337820
193 0.089358735 0.009779296 0.001400963
136 0.032652281 0.003111465 0.000391997
11 0.000020502 0.000011548 0.000003055
21 0.000112238 0.000047247 0.000006605
181 0.077795880 0.006615360 0.001008332
124 0.026468419 0.002686238 0.000509798
34 0.000851972 0.000229640 0.000020257
117 0.022478133 0.002675860 0.000285548
103 0.014512526 0.001682640 0.000168094
108 0.016976500 0.001868075 0.000219875
196 0.102564943 0.010166257 0.001229976
165 0.081371896 0.004698315 0.000663714
114 0.020334611 0.003205495 0.000294235
227 0.176081310 0.012386910 0.002071400
255 0.205282699 0.013983862 0.003691451
101 0.010240235 0.001540380 0.000155514
186 0.068991311 0.006774907 0.001168403
44 0.000861408 0.000260185 0.000024342
107 0.014950874 0.001748637 0.000180771
15 0.000076876 0.000034215 0.000006988
100 0.012280824 0.001514931 0.000164362
182 0.073635697 0.005910804 0.000896906
228 0.150058609 0.014077914 0.002083520
87 0.007992825 0.001641498 0.000157505
181 0.064428757 0.005881427 0.000923967
63 0.002584661 0.000533115 0.000039614
29 0.000333284 0.000148872 0.000015654
152 0.041053871 0.006388402 0.000820839
163 0.063404496 0.006541862 0.000964277
158 0.057415944 0.006098547 0.000896510
251 0.203236453 0.013184482 0.003114699
19 0.000144473 0.000054717 0.000008404
172 0.058702828 0.006645476 0.001133797
230 0.153005673 0.013291053 0.001961879
175 0.076029796 0.005866416 0.000942017
134 0.031865712 0.003526626 0.000553506
51 0.002629865 0.000419120 0.000045528
222 0.131273284 0.012980844 0.001685485
166 0.057255545 0.005051050 0.000796645
204 0.126968827 0.009751776 0.001709978
16 0.000088975 0.000040116 0.000007961
134 0.032603154 0.004315694 0.000455249
94 0.013648947 0.002082878 0.000199264
217 0.140916711 0.012574271 0.001992541
131 0.030777425 0.003608156 0.000485138
140 0.042003272 0.003307749 0.000432833
95 0.008645589 0.001633988 0.000254356
80 0.005266676 0.000944669 0.000101787
97 0.009842682 0.001445194 0.000156336
162 0.056449221 0.006619984 0.000960617
80 0.007390252 0.001046651 0.000113742
126 0.025154946 0.002643014 0.000339051
103 0.011799295 0.001725965 0.000212833
92 0.008244992 0.001996737 0.000183821
208 0.119224740 0.008229074 0.001262190
188 0.086098594 0.006524707 0.001056712
232 0.164653274 0.011752037 0.002057907
107 0.012549345 0.002469552 0.000252483
166 0.060352092 0.005292487 0.000971049
131 0.036548183 0.003857671 0.000353520
73 0.006109443 0.001123225 0.000094290
232 0.176792632 0.012486865 0.002621075
202 0.112993695 0.009898304 0.001801424
79 0.007706201 0.001049490 0.000090023
84 0.010286085 0.001214819 0.000112093
19 0.000094637 0.000038434 0.000006485
51 0.002897360 0.000567581 0.000047369
93 0.012939377 0.001889479 0.000141983
78 0.004744414 0.000873328 0.000091451
143 0.030777744 0.004635232 0.000445949
116 0.022343383 0.002156547 0.000262485
253 0.216919984 0.014267619 0.003442101
158 0.052032885 0.004638008 0.000674926
48 0.001099073 0.000293242 0.000027219
25 0.000169835 0.000067664 0.000007873
159 0.056602698 0.007174340 0.000740411
3 0.000002962 0.000001131 0.000000620
82 0.005540523 0.001011048 0.000130870
216 0.126453741 0.011413709 0.001576590
33 0.000416577 0.000139855 0.000011743
10 0.000015530 0.000009164 0.000002655
38 0.000620762 0.000220101 0.000016402
196 0.096151393 0.007925656 0.001275096
72 0.004405941 0.001201999 0.000101802
181 0.076933385 0.006910957 0.000867955
116 0.019509325 0.002128392 0.000241904
137 0.034627841 0.005064868 0.000598128
218 0.137913123 0.014033775 0.001959633
161 0.057787323 0.006864818 0.000935492
249 0.200606640 0.015031769 0.002202643
249 0.208506019 0.012897532 0.002505960
169 0.063447196 0.006629179 0.000774526
102 0.014939761 0.001577543 0.000180178
93 0.008568090 0.002306252 0.000208813
87 0.012585660 0.001892753 0.000158032
15 0.000081230 0.000036873 0.000007106
156 0.050351068 0.004894666 0.000579147
114 0.021497086 0.003470785 0.000376512
50 0.001491401 0.000420964 0.000033735
169 0.060319385 0.005271829 0.000729766
223 0.146146266 0.015050923 0.002679928
19 0.000164794 0.000066170 0.000010211
191 0.100890719 0.008491411 0.001055151
75 0.004530792 0.000769419 0.000077635
38 0.000625993 0.000168045 0.000016212
69 0.003951425 0.000900814 0.000084836
66 0.005667142 0.001015552 0.000080411
83 0.006074539 0.001180941 0.000101826
195 0.102397937 0.008162343 0.001270670
208 0.103140208 0.009589975 0.001668634
239 0.180429115 0.012827855 0.003263730
134 0.032498179 0.003122899 0.000427071
